index,model,train_acc,train_prec,train_rec,train_f1,holdOut_acc,holdOut_prec,holdOut_rec,holdOut_f1,extraInfo
1,random,0.101279761904762,0.101264782537075,0.101299558887556,0.101212518896478,0.102261904761905,0.10216938257948,0.102354691787496,0.102185177112258,
2,featureExtr_1,0.967818509615385,0.967614754181818,0.967756584368372,0.96767103524915,0.9627685546875,0.962127986732503,0.962489428880623,0.962279482250838,
2,featureExtr_5,0.976875,0.977110655656724,0.976715192841527,0.976845086351282,0.97297619047619,0.973078518512852,0.972715087203694,0.972822341723205,rectangular convulutions
3,featureExtr_5_28,0.9813095238095239,0.981405523228954,0.9812781476252603,0.9812995304434239,0.9776190476190476,0.9775050022731555,0.9775675387850082,0.9775102440211537,
4,featureExtr_5_24,0.995297619047619,0.9952796158982686,0.9952652932312145,0.9952714952145574,0.9876190476190476,0.9875864639539211,0.9874149641954182,0.9874952044565186,added 2 fc layer to increase num params
5,featureExtr_5_16,0.998546365914787,0.9985509103785406,0.9985437647052482,0.9985470829007405,0.9914285714285714,0.9914893603869939,0.9913052060395751,0.9913547166364346,added 2 fc layer and conv from kaggle
